	Mean	Lower	Upper
MCC_CI-0	0.5968222886104031	0.5437961908553103	0.6488459268048069
MCC_CI-1	0.6152070779324742	0.5578455563268012	0.6690125429224487
MCC_CI-2	0.6107448987155547	0.5377949475621089	0.6719866385012151
MCC_CI-3	0.6375554583185689	0.5883481269418621	0.6855768617920325
SPEC_CI-0	0.7966666666666667	0.742	0.8506666666666668
SPEC_CI-1	0.8166666666666668	0.7706666666666665	0.8639999999999999
SPEC_CI-2	0.8113333333333332	0.7426666666666667	0.8640000000000001
SPEC_CI-3	0.8006666666666667	0.7513333333333333	0.8500000000000001
SENS_CI-0	0.7861111111111111	0.7405555555555554	0.8291666666666666
SENS_CI-1	0.7902777777777779	0.7458333333333332	0.8311111111111111
SENS_CI-2	0.79	0.7422222222222221	0.8316666666666667
SENS_CI-3	0.825	0.7883333333333334	0.8602777777777778
DOR_CI-0	inf	inf	inf
DOR_CI-1	inf	inf	inf
DOR_CI-2	inf	inf	inf
DOR_CI-3	inf	inf	inf
ACC_CI-0	0.7905641025641026	0.7621538461538461	0.8167179487179486
ACC_CI-1	0.8004102564102564	0.772102564102564	0.8288205128205126
ACC_CI-2	0.7982564102564101	0.7622564102564102	0.8287179487179486
ACC_CI-3	0.8152820512820511	0.7916923076923077	0.8396923076923076
AUC_CI-0	0.7913888888888886	0.7636666666666667	0.8177499999999999
AUC_CI-1	0.803472222222222	0.7750833333333333	0.8317222222222221
AUC_CI-2	0.8006666666666666	0.7628333333333334	0.8334999999999999
AUC_CI-3	0.8128333333333332	0.7878333333333333	0.8372222222222221
PPV_CI-0	0.8764927849927849	0.8460468975468975	0.9076118326118326
PPV_CI-1	0.8829401154401154	0.8542438672438674	0.9114920634920636
PPV_CI-2	0.8800627705627706	0.8368088023088022	0.9153823953823954
PPV_CI-3	0.879622655122655	0.8516998556998555	0.908069264069264
NPV_CI-0	0.7372503607503609	0.6940598845598845	0.7804805194805194
NPV_CI-1	0.7430202020202021	0.7030562770562772	0.7878253968253968
NPV_CI-2	0.7447857142857144	0.7014761904761905	0.7887380952380952
NPV_CI-3	0.7735519480519483	0.7331471861471861	0.8158333333333334
