	65	130	195	259
0	inf	inf	inf	40.0
1	inf	8.0	4.0	16.0
2	10.5	12.0	inf	12.0
3	inf	inf	12.0	inf
4	inf	inf	inf	inf
5	1.75	1.25	2.0	2.0
6	inf	inf	inf	inf
7	12.0	inf	inf	inf
8	inf	6.666666666666667	12.0	inf
9	12.0	12.0	inf	inf
10	inf	inf	inf	inf
11	8.0	3.5	8.0	inf
12	inf	inf	10.5	12.0
13	inf	4.0	inf	10.5
14	12.0	inf	inf	inf
15	4.0	inf	inf	40.0
16	7.0	7.0	4.0	17.5
17	inf	inf	inf	inf
18	inf	28.0	inf	inf
19	inf	inf	inf	4.5
20	16.0	inf	8.0	inf
21	inf	inf	inf	inf
22	inf	inf	inf	inf
23	4.0	6.666666666666667	inf	12.0
24	4.5	12.0	2.0	6.666666666666667
25	40.0	16.0	40.0	40.0
26	10.0	inf	8.0	10.0
27	12.0	inf	inf	4.5
28	inf	inf	inf	inf
29	inf	inf	inf	inf
30	10.0	7.0	10.0	7.0
31	inf	17.5	inf	inf
32	inf	inf	inf	2.5000000000000004
33	inf	inf	inf	12.0
34	28.0	4.5	10.5	10.5
35	inf	17.5	17.5	40.0
36	40.0	6.25	10.0	inf
37	inf	inf	12.0	inf
38	2.0	10.5	inf	28.0
39	12.0	12.0	6.666666666666667	28.0
40	17.5	40.0	inf	16.0
41	inf	inf	inf	inf
42	10.5	28.0	10.5	12.0
43	28.0	inf	inf	inf
44	inf	10.5	inf	inf
45	inf	7.0	17.5	40.0
46	inf	inf	inf	inf
47	4.5	4.5	0.09523809523809523	inf
48	10.5	inf	28.0	inf
49	2.5000000000000004	6.666666666666667	inf	10.5
